design,n,method,cls,truth,bias,rmse,coverage,width,reps
srs,3000,ppi_soft,6,0.1948343292767664,5.7062216149858236e-05,0.004589458071285309,0.954,0.01884073724072113,500
srs,3000,ppi_soft,7,0.016596851362887376,-0.00014076587154694675,0.0028922485351095834,0.942,0.011180731549062465,500
srs,3000,ppi_soft,8,0.3328800301760934,4.374460772862299e-06,0.0016372074373013994,0.996,0.008565136483952683,500
srs,3000,ppi_soft,10,0.0074149808421512375,-4.2556314865508257e-05,0.0012581147589314605,0.958,0.005226713150309563,500
srs,3000,ppi_soft,12,0.016596851362887376,7.283913882145498e-05,0.001243739033599349,0.968,0.005298188179702534,500
srs,3000,ppi_soft,13,0.007931150860614243,5.551580605242387e-05,0.0015982677443092657,0.96,0.0063375969645122696,500
srs,3000,ppipp_soft,2,0.1908141589406603,-0.0001435714197040719,0.003608258970192328,0.962,0.014830552732027978,500
srs,3000,ppipp_soft,3,0.020577316312957852,-0.00017934945576058233,0.0013817768753031036,0.936,0.0057197996781784095,500
srs,3000,ppipp_soft,4,0.20052212582636836,6.566224671353337e-05,0.0038238255760150246,0.958,0.01609991460240667,500
srs,3000,ppipp_soft,5,0.011832205038613488,-6.760793469336438e-05,0.001823760493701994,0.932,0.00668702347381057,500
srs,3000,ppipp_soft,6,0.1948343292767664,5.7062216149858236e-05,0.004589458071285309,0.954,0.01884073724072113,500
srs,3000,ppipp_soft,7,0.016596851362887376,-0.00012017179974974038,0.0020828990782603947,0.936,0.008034970539534187,500
srs,3000,ppipp_soft,8,0.3328800301760934,-9.877183589261196e-05,0.0016402698269935372,0.996,0.008561319528555551,500
srs,3000,ppipp_soft,10,0.0074149808421512375,-0.00019475157002011732,0.0011541180244856162,0.948,0.004606810107288663,500
srs,3000,ppipp_soft,12,0.016596851362887376,-2.9222864143601493e-05,0.0012756691165886909,0.966,0.005334559274254907,500
srs,3000,ppipp_soft,13,0.007931150860614243,0.00018972826026487805,0.0015112578580089803,0.872,0.006394700397061112,500
srs,3000,stratppi,2,0.1908141589406603,-0.00018570439216329798,0.0036208099584219455,0.954,0.014192334369875863,500
srs,3000,stratppi,3,0.020577316312957852,-6.522820132018034e-05,0.0013221429232023716,0.946,0.005440074557876002,500
srs,3000,stratppi,4,0.20052212582636836,-8.672093421646066e-05,0.0036104686763470586,0.952,0.014556017535188584,500
srs,3000,stratppi,5,0.011832205038613488,-2.485999645162941e-05,0.0017820795834893872,0.932,0.00647741559018604,500
srs,3000,stratppi,6,0.1948343292767664,-9.466659056067395e-05,0.004336797533618018,0.948,0.01776934710223999,500
